radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
UMTS,639,2,49331,137750798,0,34.58564758,0.026779175,1000,2,1,1472533779,1473750754,0,Vihiga,Luanda Sub County,Luanda Township Ward
UMTS,639,2,49331,137733226,0,34.57878113,0.062484741,1000,1,1,1472533779,1472510723,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5068,2175,0,34.8452,0.10437,2387,2,1,1472750271,1489789489,0,Vihiga,Hamisi Sub County,Shamakhokho Ward
GSM,639,2,5068,5526,0,34.72709656,0.111923218,1000,1,1,1473321963,1473299260,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5009,3676,0,34.72572327,0.015792847,1000,1,1,1473321963,1473299243,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,6080,0,34.731674,0.021286,1000,3,1,1473321963,1489789489,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,624,0,34.72709656,0.111923218,1000,1,1,1473321963,1473299260,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,2,5009,766,0,34.718857,0.015793,1000,2,1,1473321963,1479276029,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5009,771,0,34.73121643,0.013046265,1000,3,1,1473321963,1488861626,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5021,3040,0,34.72572327,0.01991272,1000,1,1,1473321963,1473299243,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5075,5820,0,34.72434998,0.015792847,1000,1,1,1473321964,1473299243,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5075,5824,0,34.72572327,0.015792847,1000,1,1,1473321964,1473299243,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5068,5520,0,34.768295,0.131149,1687,2,1,1473321963,1489747665,0,Vihiga,Sabatia Sub County,Busali Ward
GSM,639,2,5068,2180,0,34.78340149,0.120162964,1000,1,1,1473321963,1473299266,0,Vihiga,Sabatia Sub County,Wodanga Ward
GSM,639,2,5068,2186,0,34.773102,0.118103,1000,2,1,1473321963,1479682914,0,Vihiga,Sabatia Sub County,North Maragoli Ward
GSM,639,2,5009,764,0,34.72709656,0.025405884,1000,1,1,1473321963,1473299248,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,6084,0,34.727097,0.043945,1000,2,1,1473321963,1488861626,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5009,760,0,34.72846985,0.018539429,1000,1,1,1473321963,1473299248,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
GSM,639,2,5078,2464,0,34.717484,0.0103,1000,2,1,1473321964,1482588581,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137750267,0,34.72572327,0.014419556,1000,1,1,1473322112,1473299226,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137738907,0,34.72434998,0.046005249,1000,1,1,1473322112,1473299226,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
UMTS,639,2,46016,137731887,0,34.74769592,0.121536255,1000,1,1,1473322112,1473299262,0,Vihiga,Sabatia Sub County,Chavakali Ward
UMTS,639,2,46016,137731886,0,34.74632263,0.121536255,1000,1,1,1473322112,1473299262,0,Vihiga,Sabatia Sub County,West Sabatia Ward
UMTS,639,2,46016,137738436,0,34.736023,0.122223,1000,2,1,1473322112,1475063817,0,Vihiga,Sabatia Sub County,West Sabatia Ward
UMTS,639,2,46016,137738438,0,34.72641,0.109177,1000,2,1,1473322112,1475063817,0,Vihiga,Sabatia Sub County,Chavakali Ward
